Step,Loss
10,0.8698
20,0.6756
30,0.7168
40,0.7334
50,0.7364
60,0.6799
70,0.687
80,0.6522
90,0.6594
100,0.6673
110,0.6211
120,0.6251
130,0.6202
140,0.668
150,0.6501
160,0.5691
170,0.5637
180,0.6182
190,0.606
200,0.556
210,0.5698
220,0.4866
230,0.5197
240,0.4219
250,0.5282
260,0.5402
270,0.4413
280,0.475
290,0.4842
300,0.3967
310,0.552
320,0.4133
330,0.3385
340,0.3762
350,0.3588
360,0.4001
370,0.4781
380,0.4653
390,0.4949
400,0.5702
410,0.3453
420,0.4531
430,0.4379
440,0.3696
450,0.2974
460,0.4261
470,0.4163
480,0.3301
490,0.4263
500,0.249
510,0.3328
520,0.3708
530,0.3429
540,0.3965
550,0.415
560,0.4185
570,0.297
580,0.37
590,0.2918
600,0.1378
610,0.144
620,0.2769
630,0.3324
640,0.1971
650,0.2622
660,0.1973
670,0.305
680,0.2627
690,0.224
700,0.2541
710,0.2803
720,0.2046
730,0.2154
740,0.1435
750,0.2313
760,0.2857
770,0.1057
780,0.2242
790,0.0789
800,0.3126
810,0.2035
820,0.2681
830,0.1829
840,0.2667
850,0.2228
860,0.1089
870,0.1926
