Step,Loss
10,0.6527
20,0.6694
30,0.7594
40,0.768
50,0.7315
60,0.6503
70,0.6678
80,0.6779
90,0.6862
100,0.659
110,0.6383
120,0.629
130,0.6142
140,0.7127
150,0.6295
160,0.6267
170,0.6664
180,0.5991
190,0.597
200,0.6072
210,0.5814
220,0.5638
230,0.5442
240,0.4949
250,0.4903
260,0.4504
270,0.4578
280,0.5039
290,0.5347
300,0.4053
310,0.5206
320,0.45
330,0.4795
340,0.4214
350,0.467
360,0.4514
370,0.4293
380,0.4003
390,0.4645
400,0.4134
410,0.4192
420,0.4452
430,0.4978
440,0.5259
450,0.3663
460,0.3227
470,0.4236
480,0.3557
490,0.3794
500,0.3082
510,0.463
520,0.4287
530,0.4444
540,0.3882
550,0.2789
560,0.35
570,0.3251
580,0.3909
590,0.249
600,0.2785
610,0.3082
620,0.212
630,0.1843
640,0.2641
650,0.3007
660,0.2423
670,0.2092
680,0.3365
690,0.3315
700,0.2034
710,0.2904
720,0.3742
730,0.2031
740,0.2138
750,0.1659
760,0.1278
770,0.1999
780,0.1573
790,0.1674
800,0.1659
810,0.1519
820,0.1713
830,0.1116
840,0.1299
850,0.0846
860,0.3318
870,0.1158
