Step,Loss
10,0.8026
20,0.8044
30,0.7842
40,0.7698
50,0.7649
60,0.7383
70,0.7051
80,0.6866
90,0.6766
100,0.6991
110,0.6625
120,0.7185
130,0.6857
140,0.6465
150,0.6558
160,0.6477
170,0.6324
180,0.6604
190,0.6332
200,0.6062
210,0.6005
220,0.5672
230,0.5834
240,0.5421
250,0.6085
260,0.5704
270,0.4865
280,0.5403
290,0.5185
300,0.4537
310,0.4834
320,0.4959
330,0.4469
340,0.5077
350,0.4313
360,0.4875
370,0.5234
380,0.4858
390,0.4281
400,0.4074
410,0.4849
420,0.3993
430,0.4004
440,0.3916
450,0.3499
460,0.4034
470,0.4627
480,0.3611
490,0.3518
500,0.313
510,0.3208
520,0.3626
530,0.3833
540,0.4599
550,0.4224
560,0.3687
570,0.444
580,0.2981
590,0.2631
600,0.2191
610,0.2647
620,0.3438
630,0.2582
640,0.2575
650,0.3376
660,0.2368
670,0.3085
680,0.2202
690,0.2146
700,0.2511
710,0.2955
720,0.3235
730,0.3889
740,0.1268
750,0.16
760,0.2243
770,0.2435
780,0.2031
790,0.1529
800,0.1233
810,0.2793
820,0.098
830,0.2577
840,0.1926
850,0.0824
860,0.1843
870,0.2678
880,0.1646
890,0.0337
900,0.1889
910,0.2496
920,0.1134
930,0.135
940,0.1478
950,0.1798
960,0.0734
970,0.228
980,0.1308
990,0.0622
1000,0.119
1010,0.1698
