Model,Explanation
Mistral 7B (Sentiment),India:0.0262; may:-0.0130; government:-0.0084; stock:0.0076; signals:0.0068; consumer:-0.0058; can:-0.0042; confidence:-0.0019; Markets:-0.0013; strategy:0.0006
Mistral 7B (Sentiment),bearish:-0.1112; broken:-0.0595; declines:-0.0594; declining:-0.0549; worsen:-0.0483; Breaking:-0.0470; decline:-0.0377; the:0.0346; trend:-0.0315; point:-0.0050
Mistral 7B (Sentiment),term:0.0599; short:-0.0391; AAP:-0.0378; stock:0.0312; there:-0.0156; implications:-0.0144; interpret:-0.0115; 5:0.0100; reactions:-0.0080; what:-0.0039
Mistral 7B (Sentiment),participants:-0.0129; positive:0.0116; SPY:-0.0089; report:0.0070; indicates:0.0069; indices:-0.0056; investors:0.0056; company:0.0052; healthy:0.0049; earnings:0.0049
Mistral 7B (Sentiment),stock:0.0327; momentum:0.0219; positive:0.0170; This:0.0127; indicates:0.0120; 8:0.0087; sustain:-0.0047; might:-0.0029; trends:-0.0022; lack:-0.0017
Mistral 7B (Sentiment),company:0.0062; potential:0.0055; Positive:0.0053; stock:0.0047; This:0.0046; sentiment:0.0044; financial:0.0041; portfolio:0.0020; this:0.0017; here:-0.0001
Mistral 7B (Sentiment),stock:0.0176; positive:0.0075; the:0.0072; strong:0.0065; analysis:0.0055; 4:0.0047; buying:0.0045; or:-0.0037; level:0.0035; potential:0.0033
Mistral 7B (Sentiment),decline:-0.1361; negative:-0.1054; struggling:-0.0786; to:-0.0565; a:-0.0547; disillusionment:-0.0484; indicate:-0.0389; AAPL:-0.0312; many:-0.0118; opportunities:0.0085
Mistral 7B (Sentiment),declines:-0.1262; negative:-0.1108; decline:-0.0888; concerns:-0.0639; of:-0.0618; interpret:-0.0517; lead:-0.0488; investment:0.0087; tweet:-0.0073; opportunities:0.0063
Mistral 7B (Sentiment),stock:0.0230; investor:0.0169; based:0.0163; the:0.0139; Strategic:0.0124; downturn:-0.0110; term:0.0109; lower:-0.0045; indicate:-0.0015; damage:-0.0012
Mistral 7B (Sentiment),buy:0.0272; company:0.0191; uncertainty:-0.0190; form:-0.0112; positive:0.0111; s:0.0107; potential:0.0099; language:-0.0077; Investors:0.0076; this:-0.0064
Mistral 7B (Sentiment),stock:0.0220; buying:0.0113; the:0.0101; GV:0.0099; that:0.0097; risen:0.0093; investors:0.0079; want:0.0069; create:0.0017; encourage:-0.0007
Mistral 7B (Sentiment),short:-0.2020; Green:-0.0664; potential:-0.0653; decline:-0.0584; behavior:-0.0560; This:-0.0492; sell:0.0469; Sentiment:-0.0466; an:-0.0431; at:0.0119
Mistral 7B (Sentiment),ban:-0.0964; negative:-0.0616; losses:-0.0563; bleak:-0.0551; adversely:-0.0360; could:-0.0291; role:-0.0247; Sector:-0.0234; rotate:0.0087; mitigate:0.0071
Mistral 7B (Sentiment),negative:-0.1931; affect:-0.0650; the:-0.0642; indicate:-0.0534; online:-0.0525; could:-0.0457; speculation:-0.0260; Viral:0.0188; expressed:0.0161; Potential:0.0009
Mistral 7B (Sentiment),stock:0.0445; ahead:0.0327; down:-0.0262; continue:-0.0224; downturn:-0.0214; an:-0.0187; great:0.0163; profits:0.0112; volatility:0.0104; attract:0.0045
