Step,Loss
10,0.7388
20,0.7703
30,0.7553
40,0.7144
50,0.715
60,0.6947
70,0.6969
80,0.6694
90,0.676
100,0.6656
110,0.6527
120,0.6663
130,0.6753
140,0.6286
150,0.6294
160,0.6188
170,0.6756
180,0.5893
190,0.6196
200,0.5907
210,0.5865
220,0.5588
230,0.5752
240,0.5517
250,0.566
260,0.563
270,0.526
280,0.4643
290,0.4472
300,0.5041
310,0.4604
320,0.4364
330,0.4658
340,0.4492
350,0.464
360,0.4365
370,0.4928
380,0.4387
390,0.5579
400,0.4635
410,0.4006
420,0.4778
430,0.4116
440,0.4108
450,0.4359
460,0.4165
470,0.3219
480,0.3463
490,0.3549
500,0.4388
510,0.3702
520,0.3436
530,0.4006
540,0.3885
550,0.3682
560,0.3135
570,0.3962
580,0.391
590,0.316
600,0.2839
610,0.2137
620,0.2062
630,0.2261
640,0.197
650,0.4602
660,0.2237
670,0.228
680,0.2575
690,0.2288
700,0.2199
710,0.3865
720,0.3103
730,0.1992
740,0.1507
750,0.1114
760,0.1246
770,0.2142
780,0.1798
790,0.134
800,0.2144
810,0.1246
820,0.2598
830,0.1096
840,0.1118
850,0.1516
860,0.1748
870,0.0926
